,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8365,8282,2026-03-07 05:22:06.770411+00:00,2026-03-07 05:23:06.770411+00,ram,39.79296875,49.85629653930664,39.9453125,60,v20260306-_tuned_20260306-181039-0246
8366,8283,2026-03-07 05:22:06.784269+00:00,2026-03-07 05:23:06.784269+00,rps,34.31931361372772,545.4774169921875,36.120000000000005,60,v20260306-_tuned_20260306-181039-0246
8308,8284,2026-03-07 05:22:21.757378+00:00,2026-03-07 05:23:21.757378+00,cpu,0.0072570959418333,0.0649930983781814,0.0059687363294253,60,v20260306-_tuned_20260306-181039-0246
8309,8285,2026-03-07 05:22:21.768258+00:00,2026-03-07 05:23:21.768258+00,ram,39.234375,49.82051467895508,39.94921875,60,v20260306-_tuned_20260306-181039-0246
8310,8286,2026-03-07 05:22:21.778780+00:00,2026-03-07 05:23:21.77878+00,rps,34.34,543.1702270507812,35.820716414328295,60,v20260306-_tuned_20260306-181039-0246
8367,8287,2026-03-07 05:22:36.750362+00:00,2026-03-07 05:23:36.750362+00,cpu,0.0053382000000055,0.0662761554121971,0.0065563472685446,60,v20260306-_tuned_20260306-181039-0246
8368,8288,2026-03-07 05:22:36.762925+00:00,2026-03-07 05:23:36.762925+00,ram,40.40625,49.8848876953125,39.484375,60,v20260306-_tuned_20260306-181039-0246
8369,8289,2026-03-07 05:22:36.777763+00:00,2026-03-07 05:23:36.777763+00,rps,37.18,546.9857177734375,35.120000000000005,60,v20260306-_tuned_20260306-181039-0246
8311,8290,2026-03-07 05:22:51.757483+00:00,2026-03-07 05:23:51.757483+00,cpu,0.0077872196931435,0.0659548342227935,0.0074159720236701,60,v20260306-_tuned_20260306-181039-0246
8312,8291,2026-03-07 05:22:51.771507+00:00,2026-03-07 05:23:51.771507+00,ram,39.9375,49.87827682495117,39.4609375,60,v20260306-_tuned_20260306-181039-0246
8313,8292,2026-03-07 05:22:51.786229+00:00,2026-03-07 05:23:51.786229+00,rps,37.22,545.7888793945312,34.72,60,v20260306-_tuned_20260306-181039-0246
8370,8293,2026-03-07 05:23:06.753096+00:00,2026-03-07 05:24:06.753096+00,cpu,0.0078753940990973,0.0659008175134658,0.0075371287637375,60,v20260306-_tuned_20260306-181039-0246
